,ID,Antigen_Processing_and_Presentation_Li_et_al,Antimicrobials_Li_et_al,Base_excision_repair,CD8_c1_Tex,CD_8_T_effector,CellCycle_Reg,Cell_cycle,Co_inhibition_T_cell_Rooney_et_al,Cytokines_Li_et_al,DDR,DNA_replication,EMT1,EMT2,EMT3,HLA_signature_gene,Homologous_recombination,Immune_Checkpoint,Mismatch_Repair,Nucleotide_excision_repair,Pan_F_TBRs,Purine_Metabolism,Pyrimidine_Metabolism,TCR_signaling_Pathway_Li_et_al,TIP_Killing_of_cancer_cells_2,TIP_Priming_and_activation_1,TIP_Priming_and_activation_2,TIP_Recognition_of_cancer_cells_by_T_cells_1,TMEscoreA_CIR,TMEscoreA_plus,TMEscoreB_CIR,TMEscore_CIR
10,SAM08cce2fa88f2,0.31316755951296765,0.3106939130001076,0.3170008149137776,-0.20435450121942914,-0.23272441705725563,0.4676547510931326,0.42441614841604125,-0.10912425172658331,0.18667066683638897,0.4642043465758977,0.3444923513612392,0.3563168012386183,0.23264163108386554,0.2094952994174979,-0.19159946964128005,0.34803543347077764,-0.12926402817375215,0.3933405219716467,0.38982631711445487,0.4328691431312025,0.311826903696902,0.3519176890731846,0.025724996003651048,0.19723168741295963,-0.12926402817375215,-0.12926402817375215,0.2626464298915972,0.0017712029955052589,-0.021166662608650556,0.35752585044553614,-0.3557546474500309
11,SAM09c84ec0cf34,0.33986242572697173,0.28847197568599403,0.330596401209973,-0.34624998624313585,-0.41467501980088894,0.4258548325762503,0.42357880577896434,-0.17256732888594886,0.2787043034822425,0.45639259614619154,0.3798340969313504,0.4199983071416792,0.4164988380781393,0.28827311182120424,-0.29879829057975615,0.3483390619189234,-0.17033310253490258,0.41690545704242354,0.4084355860976072,0.49555086195449594,0.3341671509050152,0.3643575500089829,-0.13565143675986144,0.21627946234058648,-0.17033310253490258,-0.17033310253490258,0.2947756835357764,0.02984315158423447,-0.031358055001082484,0.317567014244554,-0.2877238626603196
12,SAM0a0f2bac4b20,0.3692620584464576,0.3725626430468371,0.30901066378212877,-0.012316248447807326,0.11448644170282897,0.4188264229412559,0.44626208529278194,0.07647002290050943,0.3254873786235884,0.4564769324849827,0.3891867438290061,0.3822739817398499,0.3606426631794467,0.37576677534204983,0.05149450170315197,0.34829153741010666,0.05250514168399279,0.4199767896487492,0.3810902436081987,0.47781948385144524,0.3169932213002316,0.3692016642537376,0.10608615422044271,0.23645376402033055,0.05250514168399279,0.05250514168399279,0.34319102072274904,0.31665918027240186,0.2784440636695513,0.2780080896290036,0.03865109064339828
13,SAM0a7c2091dd56,0.39541528471017723,0.3577419786831134,0.3268679640468594,-0.012407634121996719,0.09676136418671154,0.43183201177631764,0.4431341296494917,0.0950815781289787,0.35039190803141845,0.44684740571605264,0.37770991862388964,0.3240511273060776,0.44745076686374075,0.399451591860405,0.05354933495655964,0.33028601923920786,0.07358647179408938,0.3869820686585318,0.38026325187182997,0.4797081771978565,0.32784584362684743,0.36899264512948776,0.08838052886033944,0.2543508939190823,0.07358647179408938,0.07358647179408938,0.3558757327881392,0.31371250447121674,0.291036422813191,0.31107314893540816,0.002639355535808574
14,SAM0bdb3428bd13,0.388768410967976,0.3434952577854788,0.3423775576780974,-0.0799277141893265,-0.03445808730168854,0.4343270385373945,0.41229555821444336,-0.01553623937806856,0.3298948160697194,0.45842577527813744,0.351842137426032,0.472012898144287,0.4414123124989621,0.3862534300643302,-0.08303923287757382,0.32903922595382495,-0.025566153055669328,0.38204867309274904,0.3815939106276926,0.513470835002749,0.34936736687984704,0.37210918192517134,0.06769172761519612,0.24405830716723462,-0.025566153055669328,-0.025566153055669328,0.30410835074351367,0.2150831812958117,0.14662881158095364,0.2994524933342327,-0.08436931203842099
15,SAM0ce9c983b20f,0.40274338913120966,0.35958287439058156,0.32089764735233167,0.09759724859183008,0.0959577247477657,0.41087728087035846,0.4349496907252775,0.1678281057378146,0.31638503636312704,0.4445184984008374,0.37744815354497735,0.3709530708354596,0.37512704785993384,0.4058237224268604,0.09564698911162978,0.33798534134873803,0.12703772576988423,0.39671689571480034,0.36920530179469496,0.4981496488698129,0.3266121109786438,0.36024342077944316,0.18060734216747157,0.2859430512556495,0.12703772576988423,0.12703772576988423,0.36981493869780324,0.3077219827790776,0.25588635483466576,0.3910768875495943,-0.08335490477051671
16,SAM0d855cff64e6,0.3856867854468436,0.295390886993397,0.33326431595481365,-0.13783976352192062,-0.033838059974189136,0.4626127890135513,0.4553166673856524,-0.07169991945228812,0.18648412274532628,0.4811250410109264,0.4042593513370925,0.3485827068011441,0.16466194971131842,0.22137997329290107,-0.10048668734370106,0.3673028098335053,-0.10433511915747727,0.4363973710618119,0.413148002361166,0.351432663569112,0.34085773839279626,0.37246911574716784,0.018041022449668907,0.14878030562982472,-0.10433511915747727,-0.10433511915747727,0.3163653388833541,0.20025314297200023,0.19489998301561082,0.25133453014902085,-0.051081387177020626
17,SAM0f956e757453,0.4080472969798217,0.3644581333314445,0.3085860829392853,-0.02180041694577408,0.00920663872384904,0.43682995899190635,0.423130827377976,0.037403746710714496,0.3087775809890253,0.4471116045252737,0.35521576378767195,0.5037344028259727,0.4019133573257816,0.405126363081118,-0.021002767735823484,0.3238959897292158,0.019670269459607873,0.3747908912997073,0.37305335116180743,0.5046275169475867,0.3063524858691412,0.31450403989159814,0.1139434599280524,0.2383921563665645,0.019670269459607873,0.019670269459607873,0.3411966762521546,0.2559869483950515,0.19722276859990456,0.3687462942391658,-0.11275934584411429
18,SAM110501d0eedb,0.38462298252411325,0.3478257046435685,0.3478175742874047,-0.02560533060708871,0.047247278194014725,0.45262367419935373,0.43359948886098465,0.05065659471751989,0.18551024009400277,0.46309343023860056,0.40621589119902346,0.42078750619950966,0.22416542680284807,0.2729858462336602,0.010629140006194535,0.35347609357218934,0.023695214829353346,0.41915670135517086,0.3963188460770326,0.40163265967463724,0.34418771350610716,0.3704897457803383,0.09957677977980287,0.16642399161982738,0.023695214829353346,0.023695214829353346,0.315471433959337,0.2752504551329918,0.23864763990740573,0.3215589255242861,-0.04630847039129432
19,SAM12502d970c10,0.3702607800659551,0.3424231880092631,0.3099601469912384,-0.07266651438480277,-0.034460835461277345,0.45953429032873033,0.43428057845910434,0.003275680804709455,0.27674023006349524,0.4507679406958291,0.36215260736332777,0.4077553075795056,0.27730361499696177,0.36128102785753735,-0.05971971328682265,0.34649372093017067,-0.03215266622564083,0.3933773370243714,0.37142057249973237,0.4891604363965119,0.3199575915708628,0.34662070363437586,0.07134036950498221,0.19498176015562232,-0.03215266622564083,-0.03215266622564083,0.3187652850675911,0.16341917819580076,0.16469185167907005,0.3931010744475661,-0.22968189625176533
